Name;Subproject;Code flash;Code flash extended;Data flash;Primary local RAM;Retention RAM
Cpl_Signature.obj;rb_ca_CoreAssets\rb_cry_CryptoStack\Cpl\src;384;0;0;0;0
Crc_16.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;76;0;0;0;0
Crc_32.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;70;0;0;0;0
Crc_Cfg.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;20;0;0;0;0
CryIf.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;28;0;0;1;0
CryIf_Cfg.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;12;0;0;0;0
CryIf_JobProcessing.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;56;0;0;0;0
Csm.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;44;0;0;4;0
Csm_Cfg.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;52;0;0;156;0
Csm_Hash.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;108;0;0;0;0
Csm_Init.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;20;0;0;1;0
DcmCore_DslDsd_BootLoader.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmCore\DcmCoreDslDsd;1358;0;0;3;0
DcmCore_DslDsd_ComM.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmCore\DcmCoreDslDsd;68;0;0;0;0
DcmCore_DslDsd_ConfirmRespPend.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmCore\DcmCoreDslDsd;78;0;0;0;0
DcmCore_DslDsd_CopyRxData.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmCore\DcmCoreDslDsd;358;0;0;0;0
DcmCore_DslDsd_CopyTxData.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmCore\DcmCoreDslDsd;544;0;0;11;0
DcmCore_DslDsd_DsdStateMachine.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmCore\DcmCoreDslDsd;1732;0;0;35;0
DcmCore_DslDsd_DslStateMachine.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmCore\DcmCoreDslDsd;1044;0;0;26;0
DcmCore_DslDsd_GetActiveProtocol.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmCore\DcmCoreDslDsd;44;0;0;0;0
DcmCore_DslDsd_GetSecurityLevel.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmCore\DcmCoreDslDsd;26;0;0;0;0
DcmCore_DslDsd_GetSesCtrlType.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmCore\DcmCoreDslDsd;48;0;0;0;0
DcmCore_DslDsd_InternalApi.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmCore\DcmCoreLib;118;0;0;0;0
DcmCore_DslDsd_PagedBuffer.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmCore\DcmCoreDslDsd;376;0;0;5;0
DcmCore_DslDsd_ResetToDefaultSession.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmCore\DcmCoreDslDsd;78;0;0;1;0
DcmCore_DslDsd_RestoreSecaTimer.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmCore\DcmCoreDslDsd;204;0;0;9;0
DcmCore_DslDsd_RxRequest.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmCore\DcmCoreDslDsd;532;0;0;9;0
DcmCore_DslDsd_SetSecurityLevel.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmCore\DcmCoreDslDsd;54;0;0;0;0
DcmCore_DslDsd_SetSesCtrlType.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmCore\DcmCoreDslDsd;220;0;0;0;0
DcmCore_DslDsd_StartOfReception.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmCore\DcmCoreDslDsd;496;0;0;25;0
DcmCore_DslDsd_TxResponse.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmCore\DcmCoreDslDsd;1374;0;0;13;0
DcmCore_DslDsd_WarmStart.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmCore\DcmCoreDslDsd;740;0;0;37;0
DcmCore_Main.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmCore\DcmCoreMain;202;0;0;72;0
DcmCore_Main_Init.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmCore\DcmCoreMain;388;0;0;0;0
DcmDspUds_CC.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmDsp\DcmDspUds;640;0;0;3;0
DcmDspUds_Cdi.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmDsp\DcmDspUds;464;0;0;5;0
DcmDspUds_Cdtcs.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmDsp\DcmDspUds;412;0;0;1;0
DcmDspUds_Did_Support.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmDsp\DcmDspUds;1862;0;0;10;0
DcmDspUds_Dsc.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmDsp\DcmDspUds;746;0;0;4;0
DcmDspUds_Er.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmDsp\DcmDspUds;510;0;0;3;0
DcmDspUds_Iocbi.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmDsp\DcmDspUds;2722;0;0;54;0
DcmDspUds_Rc.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmDsp\DcmDspUds;1830;0;0;28;0
DcmDspUds_Rdbi.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmDsp\DcmDspUds;2870;0;0;79;0
DcmDspUds_Rdtc.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmDsp\DcmDspUds;498;0;0;32;0
DcmDspUds_Rdtc_RepDataRecordByDTC.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmDsp\DcmDspUds;1032;0;0;4;0
DcmDspUds_Rdtc_RepNumDTCByStatusMask.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmDsp\DcmDspUds;362;0;0;0;0
DcmDspUds_Rdtc_RepSuppDTC.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmDsp\DcmDspUds;1122;0;0;1;0
DcmDspUds_Seca.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmDsp\DcmDspUds;2100;0;0;31;0
DcmDspUds_Seca_ChgSecurity.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmDsp\DcmDspUds;76;0;0;0;0
DcmDspUds_Seca_RestoreDelayCount.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmDsp\DcmDspUds;280;0;0;9;0
DcmDspUds_Seca_SecurityIni.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmDsp\DcmDspUds;248;0;0;11;0
DcmDspUds_Tp.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmDsp\DcmDspUds;70;0;0;0;0
DcmDspUds_Uds_Did_F186.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmDsp\DcmDspUds;34;0;0;0;0
DcmDspUds_Wdbi.obj;rb_ca_CoreAssets\rb_coms_ComStack\Dcm\src\DcmDsp\DcmDspUds;1114;0;0;24;0
Dcm_Lcfg_DslDsd.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;864;0;0;224;4092
Dcm_Lcfg_DspUds.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;3336;0;0;42;0
Dem_Cfg_NvmCallbacks.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;144;0;0;0;0
Dem_Cfg_OperationCycle_DataStructures.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;2;0;0;0;0
Dem_Clear.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\main;726;0;0;1;0
Dem_Client.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\client;370;0;0;32;0
Dem_ClientClearMachine.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\client;0;0;0;24;0
Dem_ClientRequestDispatcher.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\client;432;0;0;0;0
Dem_ConsisChk.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\consischk;36;0;0;0;0
Dem_DTCFilter.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\dtc;946;0;0;76;0
Dem_DTCGroup.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\dtc;278;0;0;1;0
Dem_DTCStatusByte.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\dtc;698;0;0;2;0
Dem_DTCs.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\dtc;2812;0;0;420;0
Dem_Deb.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\deb;1108;0;0;0;0
Dem_DebBase.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\deb;298;0;0;40;0
Dem_DebCtrBaseClass.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\deb;258;0;0;0;0
Dem_Dependencies.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\evdep;4;0;0;0;0
Dem_DisturbanceMemory.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\distmem;972;0;0;115;0
Dem_EnableCondition.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\enco;236;0;0;2;0
Dem_EnvDataElement.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\env;610;0;0;0;0
Dem_EnvDid.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\env;180;0;0;0;0
Dem_EnvExtendedData.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\env;16;0;0;0;0
Dem_EnvExtendedDataRec.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\env;40;0;0;0;0
Dem_EnvFreezeFrame.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\env;44;0;0;0;0
Dem_EnvMain.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\env;2570;0;0;0;0
Dem_EvBuff.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\evbuff;600;0;0;556;0
Dem_EvBuffDistributor.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\evbuff;282;0;0;25;0
Dem_EvMem.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\evmem;3148;0;0;1061;0
Dem_EvMemApi.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\evmem;730;0;0;112;0
Dem_EventFHandling.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\event;1780;0;0;117;0
Dem_EventStatus.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\event;912;0;0;604;0
Dem_Events.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\event;10428;0;0;762;2404
Dem_GenericNvData.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\main;0;0;0;2;0
Dem_Indicator.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\indct;10;0;0;0;0
